t,a,o2,r,d,_
120,[ 0.4086715  -0.6335806  -0.07494148  0.94498706  0.19183986 -0.44971955],"[  1.18938083  -0.18185545   0.03071772  -0.38114684   0.36164637
   0.10406426  -0.42675766   0.27853219  -2.19224875  -1.64069986
  -4.47648644   3.23563515 -10.          10.           5.11530605
 -10.          10.        ]",-1.0523190130262026,False,"{'x_position': -0.12872437619755045, 'x_velocity': -2.0506129092244754}"
121,[ 0.98525506 -0.32111508 -0.5321416   0.48377305 -0.65523076  0.19832174],"[  1.17522513  -0.23172616   0.04675963  -0.50541125   0.49775484
   0.12691789  -0.56599869   0.41501072  -2.54519888  -1.94733035
  -7.70318857   1.02527558 -10.          10.           1.06133055
 -10.          10.        ]",-1.385976427778524,False,"{'x_position': -0.1477957099224062, 'x_velocity': -2.3839167156069694}"
122,[-0.39088815 -0.6975548  -0.33404452  0.5909918  -0.71816665 -0.17632374],"[  1.15740558  -0.3056852    0.04561999  -0.64750103   0.57467975
   0.12592082  -0.71250214   0.53382967  -2.90562385  -2.53482599
 -10.          -1.06329948 -10.           6.04295921  -1.03402091
 -10.          10.        ]",-1.7410620883574708,False,"{'x_position': -0.16971102993630333, 'x_velocity': -2.73941500173714}"
123,[-0.16993399 -0.5935683   0.5148877  -0.4169314   0.33407888 -0.11226192],"[  1.13488695  -0.40418984   0.01893627  -0.79711111   0.64230488
   0.09396355  -0.85369237   0.6239135   -2.9444721   -3.1005601
 -10.          -5.6358647  -10.          10.          -6.88624114
 -10.          10.        ]",-1.930758475106431,False,"{'x_position': -0.19314954290946465, 'x_velocity': -2.9298141216451654}"
124,[-0.36783755  0.71677697  0.38231552 -0.96268713  0.99574     0.3909417 ],"[  1.10898974  -0.55852695  -0.09824848  -0.89769725   0.75130167
  -0.03580076  -0.93095929   0.73866031  -2.8460645   -3.44686539
 -10.         -10.          -7.00489798  10.         -10.
  -3.4791461   10.        ]",-1.9200798577208666,False,"{'x_position': -0.21648725106139272, 'x_velocity': -2.9172135189910082}"
125,[-0.06817235  0.8014006  -0.50725657 -0.46301126  0.86818784  0.15626228],"[  1.07978664  -0.77504053  -0.32298884  -0.92661955   0.84732087
  -0.27775574  -0.9270927    0.86551329  -2.33017867  -3.89473758
 -10.         -10.          -0.26637178   7.42861424 -10.
   4.03498432  10.        ]",-1.616533098474786,False,"{'x_position': -0.2374043418722928, 'x_velocity': -2.614636351362512}"
126,[ 0.5110439  -0.14065206 -0.11735318  0.19471635  0.32802084 -0.21852437],"[  1.04722881  -0.99224098  -0.55317128  -0.9421998    0.88280418
  -0.52934462  -0.90099424   0.91651569  -1.70113479  -4.17812964
 -10.         -10.          -3.62522588   2.04360773 -10.
   2.48967009   3.04439805]",-0.9966262459542029,False,"{'x_position': -0.2533734479545619, 'x_velocity': -1.9961382602836364}"
127,[-0.86488694  0.49274102 -0.07426018 -0.05273885 -0.5136824   0.31075776],"[  1.01016222  -1.20810438  -0.78010317  -0.95419274   0.88773471
  -0.77294026  -0.88202142   0.92516758  -1.0269155   -5.09745008
 -10.         -10.           0.50619582  -0.49080438 -10.
   2.16551796  -0.44748468]",-0.39430750180999724,True,"{'x_position': -0.26451703149561506, 'x_velocity': -1.392947942631645}"
128,[ 0.2930118   0.31998602  0.72729427 -0.16666685  0.85250944 -0.71352124],"[ 1.24742131e+00 -2.58889269e-03  1.70423934e-03  3.24467368e-04
  3.98013187e-02 -2.53185914e-03  5.00281452e-03 -4.07366501e-02
 -1.32650891e-02 -7.62181052e-02 -9.37299368e-02  3.10057075e-02
 -4.39408408e-01  1.00000000e+01 -1.35550415e-01  2.91993806e-01
 -9.88770985e+00]",0.9951007677376447,False,"{'x_position': 0.000517785216086901, 'x_velocity': -0.0029183655917468187}"
129,[-0.63330024 -0.8299618  -0.37171826 -0.7190358  -0.89571697 -0.36524135],"[ 1.24705317e+00 -2.88030058e-02 -2.37224136e-02 -8.62667987e-03
  1.01127631e-01 -2.90167815e-02  1.91142408e-03 -1.37623431e-01
 -8.01530297e-01 -3.10550219e-02 -6.44883897e+00 -6.36459190e+00
 -1.84486486e+00  5.21632405e+00 -6.47262839e+00 -1.02300520e+00
 -1.00000000e+01]",0.5896356516130756,False,"{'x_position': -0.002743683150338939, 'x_velocity': -0.40768354580323}"
130,[-0.92474115 -0.8198397  -0.575036   -0.9680325   0.75806975 -0.55110353],"[ 1.24646173e+00 -1.20641280e-01 -1.24037042e-01 -1.68538298e-02
  1.07479090e-01 -1.32801219e-01  8.38453114e-03 -2.58224695e-01
 -1.70847933e+00 -1.95526368e-01 -1.00000000e+01 -1.00000000e+01
 -4.69706909e-01 -3.65359163e+00 -1.00000000e+01  1.53397591e+00
 -1.00000000e+01]",-0.24413248667313037,False,"{'x_position': -0.01266735567266075, 'x_velocity': -1.2404590652902263}"
131,[-0.9728565   0.78302294  0.3532084  -0.35664406  0.60519254  0.36564422],"[  1.24104481  -0.28219926  -0.32432974   0.01599634   0.08665326
  -0.31829443   0.01739934  -0.29322901  -2.04734937  -1.23382691
 -10.         -10.           5.52292552  -0.62552813 -10.
   0.74983559   1.04410471]",-0.859392709132831,False,"{'x_position': -0.027524005509175546, 'x_velocity': -1.8570812295643495}"
132,[ 0.45794174 -0.97059757 -0.90353966 -0.05207943 -0.41121793 -0.5543872 ],"[ 1.23068963e+00 -4.54512048e-01 -5.23364479e-01  2.58344116e-02
  3.42890053e-02 -5.05502597e-01  7.16060383e-03 -2.70651419e-01
 -2.14142974e+00 -1.29672275e+00 -1.00000000e+01 -1.00000000e+01
 -2.90380620e+00 -1.00000000e+01 -1.00000000e+01 -3.17204409e+00
  3.80840348e+00]",-1.0918719975581452,False,"{'x_position': -0.044239402994615075, 'x_velocity': -2.089424685679941}"
133,[ 0.35641003 -0.08323483  0.9390563   0.07322362  0.2594588   0.18743046],"[ 1.21871603e+00 -5.97729712e-01 -6.58413392e-01 -2.09958315e-02
 -2.01832118e-03 -6.46880594e-01 -2.30262874e-02 -2.26146393e-01
 -1.88194619e+00 -1.66726122e+00 -1.00000000e+01 -1.00000000e+01
 -8.78946632e+00  3.23630010e+00 -1.00000000e+01 -4.27871353e+00
  7.28031253e+00]",-1.0103826941210916,False,"{'x_position': -0.06031347579903339, 'x_velocity': -2.0092591005522897}"
134,[ 0.3303209  -0.41405228 -0.87413675 -0.54950476  0.935235   -0.73802465],"[  1.20434816  -0.73613668  -0.77539853  -0.09276533  -0.03580481
  -0.80047845  -0.01720751  -0.20075773  -1.60172403  -1.93671781
 -10.         -10.          -9.13304697 -10.         -10.
   5.5981748   -0.74767058]",-0.7512570532553299,False,"{'x_position': -0.07430140449184544, 'x_velocity': -1.748491086601506}"
135,[ 0.40518075  0.69210905  0.89777607 -0.41671026  0.60639346  0.5352237 ],"[  1.18640346  -0.87922182  -0.89896691  -0.1605785   -0.07961666
  -0.97947696   0.02529287  -0.17011447  -1.21834738  -2.51210496
 -10.         -10.          -8.08867223   0.89644915 -10.
   3.66743844   9.01932245]",-0.3823406425646589,False,"{'x_position': -0.08534191352785526, 'x_velocity': -1.380063629501228}"
136,[-0.47703165 -0.81603646 -0.98535156 -0.30845124  0.20765254  0.5807606 ],"[  1.16361352  -1.02905099  -1.02427799  -0.2334532   -0.11893606
  -1.15365276   0.04339471  -0.06512127  -1.32468079  -3.19983164
 -10.         -10.          -9.90627061  -5.48643785 -10.
   1.13312003  10.        ]",-0.29064864832675746,True,"{'x_position': -0.09564838321869601, 'x_velocity': -1.288308711355093}"
137,[-0.10962253 -0.02970569 -0.65801775  0.27786392  0.15780795  0.61937517],"[ 1.25402079e+00 -2.64709209e-03  1.89382452e-03  3.52256146e-03
 -3.91325276e-02  2.21723627e-03 -2.23463409e-03  3.14085662e-02
 -2.57312496e-02 -6.91153462e-02 -1.01772144e-01 -3.88018676e-01
  8.85144876e-01 -9.45130095e+00  3.31393056e-01 -1.07256141e+00
  8.88285830e+00]",1.0070764770810328,False,"{'x_position': -0.0002726827435546871, 'x_velocity': 0.008008101255150649}"
138,[-0.9164238   0.3398622   0.9119485  -0.5160345   0.47316337  0.33032674],"[ 1.25204184e+00 -3.77061053e-02 -4.19940612e-02  9.02793493e-03
 -5.24720881e-02 -4.42650058e-02  8.67067583e-03  1.20981699e-01
 -6.18643968e-01 -4.46994234e-01 -8.33176387e+00 -1.00000000e+01
  5.02932462e-01  5.90397298e+00 -1.00000000e+01  1.63865884e+00
  1.00000000e+01]",0.7006023547012943,False,"{'x_position': -0.002648773665465817, 'x_velocity': -0.2970113652388912}"
139,[ 0.19310118 -0.9196565  -0.9229477   0.31433427  0.5706275  -0.15960257],"[ 1.24895223 -0.08770283 -0.09041229 -0.0111103  -0.05357255 -0.10479838
  0.01719337  0.21978517 -0.59875369 -0.31079148 -4.21263773 -2.05857063
 -5.50128559 -6.19125134 -4.76001884  0.60084135 10.        ]",0.3884590309331041,False,"{'x_position': -0.007523623152238656, 'x_velocity': -0.6093561858466048}"
140,[ 0.4812699  -0.1920813   0.727795    0.7863598  -0.5883414  -0.14678967],"[  1.24613775  -0.08484472  -0.04576792  -0.09193439  -0.05327147
  -0.07924481  -0.01841219   0.30839043  -0.40520691  -0.42894295
   4.89133914  10.         -10.           5.96323924  10.
  -9.49943123  10.        ]",0.4948630484796719,False,"{'x_position': -0.011550444715596044, 'x_velocity': -0.5033526954196735}"
141,[0.36925355 0.731853   0.29828465 0.58240056 0.58713084 0.02817743],"[ 1.24168292e+00 -3.90758822e-02  5.60729634e-02 -1.89328895e-01
  1.30062546e-03  1.06686546e-02 -8.24667946e-02  3.99338121e-01
 -1.92526916e-02 -6.62620618e-01  4.53807566e+00  9.19253060e+00
 -8.17403393e+00  7.71107624e+00  8.53145554e+00 -5.51240736e+00
  1.00000000e+01]",0.8345801900969021,False,"{'x_position': -0.012862238092243617, 'x_velocity': -0.1639741720809466}"
142,[ 0.12495543  0.5573591  -0.47596556 -0.99857175 -0.7423785  -0.19583899],"[ 1.23668147 -0.02443591  0.09320397 -0.22933958  0.02784798  0.05162273
 -0.12488549  0.47254291 -0.33249881 -0.57365005 -0.83747574  0.17585653
 -1.91219098 -0.91829074  1.77518602 -5.15225484  7.24237327]",0.8222475493881157,False,"{'x_position': -0.014267142252955342, 'x_velocity': -0.17561302008896568}"
143,[ 0.95240176 -0.00309239  0.9676245   0.2512599  -0.41071483 -0.32111445],"[ 1.23110723 -0.0378255   0.08944233 -0.2512953   0.07884921  0.0589071
 -0.16876322  0.51458017 -0.50440783 -0.823595   -2.3900343  -0.95217043
 -3.58076461 10.          0.23250088 -5.92154254  3.26282222]",0.5764058547533321,False,"{'x_position': -0.01763846894703318, 'x_velocity': -0.4214158367597295}"
144,[-0.41280863 -0.40292493  0.41562447  0.7339139  -0.69740385  0.3536901 ],"[  1.22318705  -0.06725164   0.07403011  -0.28684166   0.21436158
   0.05792156  -0.23374721   0.56357296  -0.9279429   -1.1695633
  -4.89626685  -2.81661785  -5.267098    10.          -0.39401108
 -10.           8.83747944]",0.27899001347598773,False,"{'x_position': -0.023393304027213558, 'x_velocity': -0.7193543850225474}"
145,[0.41538775 0.3815846  0.90571344 0.6773022  0.6462165  0.9297471 ],"[ 1.21220524 -0.10116664  0.05459122 -0.32278123  0.42975965  0.05313777
 -0.29880142  0.6895131  -0.53590169 -1.55213327 -3.5628059  -2.06819631
 -3.40564994 10.         -0.74815278 -5.86184539 10.        ]",0.2657345417971454,False,"{'x_position': -0.029244393818324676, 'x_velocity': -0.7313862238888897}"
146,[-0.01610354 -0.21742709  0.43877465  0.03854258  0.830054    0.8063789 ],"[ 1.19951372 -0.13212464  0.03539679 -0.34681282  0.72234483  0.03303174
 -0.3184676   0.88442751 -0.40435952 -1.52182609 -4.16472058 -2.77026056
 -2.36605544 10.         -4.3703647   0.66110447 10.        ]",0.5333949884064366,False,"{'x_position': -0.0329645876784682, 'x_velocity': -0.4650242325179407}"
147,[ 0.31346697 -0.39236063  0.11485583 -0.23209287 -0.25347972 -0.42483506],"[ 1.18867086e+00 -1.65631038e-01  1.89541970e-02 -3.76465810e-01
  9.70701708e-01  1.72272962e-03 -3.21507784e-01  9.75820492e-01
 -6.78914398e-01 -1.12513047e+00 -4.26469114e+00 -1.46093274e+00
 -5.13251995e+00  1.00000000e+01 -3.40296753e+00 -1.36695625e+00
  5.86439700e+00]",0.4660274433573627,False,"{'x_position': -0.037231856098146776, 'x_velocity': -0.5334085524598218}"
148,[ 0.19696437 -0.11741669 -0.28931883  0.8090839  -0.9708454   0.41166148],"[ 1.18086461e+00 -1.98675130e-01  1.19734507e-02 -4.20343666e-01
  1.06505040e+00 -8.21202900e-03 -3.60235667e-01  9.96997979e-01
 -1.07532773e+00 -8.70342896e-01 -4.07025536e+00 -3.89734326e-01
 -5.78091810e+00  5.43541150e+00  8.61987078e-01 -8.37243684e+00
  1.14887262e-01]",0.12011137301191258,False,"{'x_position': -0.044255741836959496, 'x_velocity': -0.8779857173515899}"
149,[-0.80501014  0.7785226   0.27145323  0.03269735  0.98430955 -0.14447549],"[  1.17599565  -0.25964342  -0.04052477  -0.43800369   1.07752317
  -0.05443402  -0.39039095   0.97601883  -1.07804528  -0.38512163
 -10.         -10.           1.33322885  -1.46051385 -10.
   0.69400746  -5.26513274]",-0.08192590832272392,False,"{'x_position': -0.05289260003890506, 'x_velocity': -1.079607275243195}"
150,[ 0.6213118  -0.4325203   0.38505182  0.28755715  0.9672371  -0.31738344],"[  1.17368484  -0.32833516  -0.10884159  -0.44878142   1.05250243
  -0.13071166  -0.38133142   0.91430017  -0.74318598  -0.17515056
  -6.04339389  -4.42728794  -4.00515833  -4.33894775  -6.77777817
   1.58403973 -10.        ]",0.09030734472295775,False,"{'x_position': -0.060155418593400144, 'x_velocity': -0.9078523193118857}"
151,[-0.35162672 -0.23707487 -0.1924774  -0.78047967  0.31144813 -0.49628684],"[  1.1718922   -0.40608349  -0.18512211  -0.46885353   1.00072111
  -0.23038068  -0.34462188   0.80594132  -1.05012173  -0.31653291
 -10.         -10.          -1.03641601  -8.72330248 -10.
   7.57767162 -10.        ]",0.09365151357837911,False,"{'x_position': -0.06739685174558396, 'x_velocity': -0.9051791440229774}"
152,[ 0.66463214 -0.67766356 -0.22772187 -0.7232921  -0.2293523   0.11562078],"[  1.16829244  -0.50908699  -0.28381569  -0.50529076   0.91093048
  -0.36510568  -0.29250384   0.67384017  -1.20106482  -0.57994611
 -10.         -10.          -7.98685236 -10.         -10.
   5.55326609 -10.        ]",-0.128147762448659,False,"{'x_position': -0.07640969830058705, 'x_velocity': -1.1266058193753863}"
153,[ 0.8944109   0.07781411 -0.99308807  0.97277594  0.28082758  0.78887606],"[ 1.16582225e+00 -5.63458032e-01 -2.99362836e-01 -5.97224029e-01
  7.41466863e-01 -4.24143539e-01 -2.78574884e-01  5.86704911e-01
 -7.95063456e-01 -5.72253241e-03 -1.25222671e+00  6.14939515e+00
 -1.00000000e+01 -1.00000000e+01  7.90603977e-01 -2.00831000e+00
 -5.82268331e+00]",0.009178095094498847,False,"{'x_position': -0.08430875567941847, 'x_velocity': -0.9873821723539264}"
154,[-0.67938566 -0.843208   -0.5979207   0.9942077  -0.5630363   0.25126684],"[  1.16547576  -0.55837198  -0.22006374  -0.73343712   0.47294468
  -0.3805382   -0.33133494   0.55986305  -1.05311205  -0.10985601
   2.54903128  10.         -10.         -10.          10.
 -10.          -1.00238362]",0.06687347572902229,False,"{'x_position': -0.09175057853299486, 'x_velocity': -0.9302278566970489}"
155,[ 0.13171786 -0.18036443  0.94144714 -0.02414589 -0.532981    0.2951502 ],"[  1.16265817  -0.53096787  -0.10159166  -0.87779265   0.21596707
  -0.2833934   -0.43725467   0.57123592  -0.96544766  -0.61672079
   4.2760419   10.         -10.         -10.          10.
 -10.           3.62545569]",-0.01853897646141533,False,"{'x_position': -0.0998884265919396, 'x_velocity': -1.0172310073680926}"
156,[ 0.7385038  -0.52343404 -0.39517272  0.5258906  -0.906314    0.8631229 ],"[  1.15516755  -0.47502295   0.06288717  -1.03101521  -0.0159845
  -0.12740905  -0.59437505   0.64447698  -1.11603565  -1.4352876
   4.32592098  10.         -10.         -10.          10.
 -10.          10.        ]",0.0646810814266629,False,"{'x_position': -0.10734843010231523, 'x_velocity': -0.9325004387969547}"
157,[ 0.88922477  0.5912086  -0.515687    0.37955028 -0.11601503  0.9217202 ],"[  1.14193835  -0.47085038   0.15359256  -1.15443161  -0.16192495
  -0.03314634  -0.7435991    0.79772593  -1.30620093  -1.80618188
  -2.55594581   6.5357016  -10.         -10.           7.31201381
 -10.          10.        ]",-0.21985878348299215,False,"{'x_position': -0.11708799423118686, 'x_velocity': -1.2174455161089535}"
158,[-0.41721767  0.2670873   0.5798224   0.6446326   0.5746191   0.72182727],"[ 1.12771545e+00 -5.03460958e-01  1.78944909e-01 -1.24277130e+00
 -2.12435605e-01  5.06590356e-03 -8.65282143e-01  9.24866101e-01
 -1.22334862e+00 -1.75040828e+00 -5.13257969e+00  5.16605722e-01
 -9.17740845e+00 -7.79352842e-01  2.84817279e+00 -1.00000000e+01
  9.68247829e+00]",-0.278780844241017,False,"{'x_position': -0.12730345400067133, 'x_velocity': -1.276932471185559}"
159,[-0.6704073  -0.22144751 -0.16814205 -0.21347219  0.63197684  0.01301255],"[  1.11348251  -0.56910277   0.14764561  -1.30394375  -0.21377539
  -0.01136804  -0.95715251   0.96835361  -1.44942687  -1.8277759
 -10.          -8.30419089  -6.14474838   0.29086611  -6.90192418
  -8.91083532   2.06059987]",-0.34277880115586346,False,"{'x_position': -0.13803790928107684, 'x_velocity': -1.3418069100506884}"
160,[-0.29984114 -0.37275255  0.04292585  0.31137663  0.15481956 -0.335396  ],"[  1.09792301  -0.65790032   0.08305153  -1.354474    -0.20870624
  -0.06419259  -1.03059433   0.96249224  -1.35790596  -2.05971791
 -10.          -7.83844822  -6.48975293   0.96804319  -6.28966081
  -9.44986807  -3.51257105]",-0.404395921390823,False,"{'x_position': -0.14926936379805647, 'x_velocity': -1.4039318146224533}"
161,[-0.8830909   0.12374479 -0.77629185 -0.73447925  0.8530525  -0.12656946],"[  1.08031675  -0.7903457   -0.04173964  -1.38494905  -0.20773284
  -0.18469884  -1.06765776   0.93261004  -1.56782906  -2.42084832
 -10.         -10.          -1.32384614  -0.67555763 -10.
   0.1643456   -3.89244675]",-0.501866441545459,False,"{'x_position': -0.16126284757460654, 'x_velocity': -1.4991854720687592}"
162,[-0.3655553   0.03496655 -0.92339355 -0.6046848  -0.19793752  0.2926319 ],"[  1.05774402  -0.98845267  -0.25045456  -1.38926682  -0.25308566
  -0.40310487  -1.05458823   0.9032644   -1.27365689  -3.25928729
 -10.         -10.           0.40259469 -10.         -10.
   3.07616186  -3.41343483]",-0.4560008490055025,False,"{'x_position': -0.1728990306438112, 'x_velocity': -1.454522883650583}"
163,[-0.7738351  -0.8597931  -0.58589894 -0.29599568  0.09417624  0.46886244],"[  1.02721487  -1.22535352  -0.49744251  -1.38816272  -0.34530151
  -0.67122106  -1.02013995   0.87879785  -0.55755779  -4.37840711
 -10.         -10.          -0.10229321 -10.         -10.
   5.41193942  -2.71731283]",0.047126497095767,True,"{'x_position': -0.1805060374096064, 'x_velocity': -0.9508758457244005}"
164,[-0.04020281  0.92975575 -0.75448215 -0.85325384 -0.5599991  -0.77945495],"[ 1.25542643e+00 -2.21131591e-02 -1.81402112e-02  8.43483709e-03
 -4.62936108e-02 -1.66531853e-02  3.14748828e-03 -4.43616361e-02
 -5.05899763e-01  2.17959792e-01 -4.18819545e+00 -4.91589986e+00
  9.98102657e-01 -1.00000000e+01 -4.62728531e+00  3.96432352e-02
 -1.00000000e+01]",0.7601277246196195,False,"{'x_position': 0.0009989171567710686, 'x_velocity': -0.2367877788822726}"
165,[-0.74889225  0.70739335  0.58577543 -0.6502009   0.12974796 -0.9369651 ],"[ 1.25670615e+00 -8.37087710e-02 -8.89557117e-02  1.45463640e-02
 -1.06701209e-01 -8.47193731e-02  4.64007454e-03 -1.89408594e-01
 -1.23513289e+00  6.34802903e-02 -1.00000000e+01 -1.00000000e+01
  5.62488636e-01 -3.14441567e+00 -1.00000000e+01  3.02409229e-01
 -1.00000000e+01]",0.12658616504597917,False,"{'x_position': -0.005966618506076431, 'x_velocity': -0.8706919578559373}"
166,[ 0.3658279  -0.3642316  -0.40174088 -0.06659832 -0.11068609 -0.3664917 ],"[ 1.25715267e+00 -1.62665210e-01 -1.70658948e-01  4.51951754e-03
 -1.53293113e-01 -1.68257453e-01  5.74439693e-03 -3.66796652e-01
 -1.22948488e+00  7.20380710e-02 -8.61419196e+00 -7.74242792e+00
 -3.00121539e+00 -8.56242632e+00 -8.77944259e+00 -1.03676315e-01
 -1.00000000e+01]",-0.23410567767341658,False,"{'x_position': -0.015834832781032794, 'x_velocity': -1.2335267843695454}"
167,[ 0.68220776  0.95917916 -0.46797067  0.00993314 -0.3134288  -0.63515604],"[ 1.25853389e+00 -2.17453834e-01 -2.22995453e-01 -1.99846342e-03
 -2.65052560e-01 -2.21209895e-01  1.32381037e-03 -4.54214460e-01
 -8.68805878e-01  2.90309884e-01 -5.18727544e+00 -5.71907767e+00
  1.85858908e+00 -1.00000000e+01 -4.63245319e+00 -9.44023056e-01
 -7.19608092e+00]",-0.05657925499766227,False,"{'x_position': -0.02427061731463592, 'x_velocity': -1.0544730667003905}"
168,[ 0.3587069  -0.9069514   0.521336    0.92058325 -0.02834724  0.6206443 ],"[  1.26082723  -0.22084798  -0.19823259  -0.03994964  -0.34402485
  -0.19379894  -0.04785598  -0.45476458  -0.74303506   0.2543241
   4.32174841  10.         -10.          -1.68421094  10.
 -10.           6.86036565]",0.19029521153945328,False,"{'x_position': -0.03072860362952244, 'x_velocity': -0.8072482893608153}"
169,[-0.9997444  -0.92882276  0.5138965  -0.09783424  0.9380499  -0.6088611 ],"[  1.26169204  -0.21469159  -0.13568176  -0.13816806  -0.32095684
  -0.15544482  -0.0988744   -0.41423686  -1.04004031  -0.01755702
  -2.78689548   3.69186488 -10.           7.06305956  -1.80679846
  -1.57926775   3.30035144]",0.10496163138163499,False,"{'x_position': -0.03786181848786267, 'x_velocity': -0.8916518572925288}"
170,[-0.05212734  0.79865015 -0.03003668  0.1407499  -0.7115032   0.27443394],"[ 1.2608989  -0.23498013 -0.11360493 -0.22064297 -0.27313816 -0.15719227
 -0.13592633 -0.3585094  -0.98743867 -0.17171686 -2.28556626  1.88211253
 -7.81030043  5.02388049  1.35209372 -7.6180897  10.        ]",-0.013721655929276377,False,"{'x_position': -0.04596164915221278, 'x_velocity': -1.012478833043763}"
171,[-0.05782318 -0.8868001  -0.10536405  0.64508337 -0.4141783   0.3169197 ],"[  1.25859204  -0.23128469  -0.05572139  -0.3150293   -0.22054774
  -0.10302276  -0.23116002  -0.24770517  -1.07584167  -0.45130827
   3.19176205  10.         -10.           7.9596575   10.
 -10.          10.        ]",-0.03850685203679308,False,"{'x_position': -0.05425779217670567, 'x_velocity': -1.0370178780616115}"
172,[ 0.67707294 -0.6731829   0.238113    0.799965   -0.7744994   0.94875294],"[  1.25162964  -0.18616081   0.08155523  -0.46811865  -0.13855291
   0.0373001   -0.40210994  -0.05107454  -1.3597069   -1.34935391
   2.61275906  10.         -10.          10.          10.
 -10.          10.        ]",-0.09998095559080669,False,"{'x_position': -0.06303277401103784, 'x_velocity': -1.0968727292915208}"
173,[-0.92758924 -0.6351489  -0.84920925 -0.6791385   0.6214866   0.44963354],"[  1.24011527  -0.20678359   0.13457846  -0.60485321  -0.09586733
   0.08594216  -0.54189119   0.20911531  -1.84816499  -1.49154287
  -7.7111749   -0.21913909 -10.          -1.71600992  -2.41292217
 -10.          10.        ]",-0.6016319906634404,False,"{'x_position': -0.07582155283673599, 'x_velocity': -1.5985973532122686}"
174,[ 0.80887026  0.83329266  0.98213387 -0.98913664  0.8872987   0.4488911 ],"[  1.22775698  -0.28255282   0.10157021  -0.70345408  -0.05455935
   0.02847587  -0.59397535   0.51332955  -1.47746779  -1.58463859
 -10.          -7.98410662  -9.51172014  10.         -10.
  -0.83050134  10.        ]",-0.6649841669999453,False,"{'x_position': -0.08910718274545894, 'x_velocity': -1.660703738590369}"
175,[ 0.61591244 -0.88239706  0.2746154  -0.56090343 -0.740799   -0.02036907],"[  1.2128377   -0.36824312   0.05345384  -0.80023116   0.0511861
  -0.05029001  -0.6158734    0.84173933  -1.71968686  -2.09007736
 -10.          -4.37392368 -10.          10.          -7.89801616
  -5.3121054   10.        ]",-0.5924669138467865,False,"{'x_position': -0.1018301404797867, 'x_velocity': -1.5903697167909698}"
176,[-0.957526    0.9044513  -0.8403782  -0.11348826  0.76904434 -0.08770537],"[  1.19752434  -0.48642434  -0.04337135  -0.8715919    0.10710677
  -0.17196464  -0.62649619   1.02662553  -1.8444466   -1.84202796
 -10.         -10.          -3.87246734   0.39489042 -10.
   2.85628751  10.        ]",-0.8054586416019441,False,"{'x_position': -0.11624938461145784, 'x_velocity': -1.802405516458893}"
177,[ 0.55772465  0.7341788  -0.79151165  0.6472206  -0.46708718  0.29793477],"[  1.18325065  -0.60922825  -0.15952259  -0.90703954   0.05710434
  -0.30416729  -0.63429869   1.08374069  -1.50500546  -1.67505315
 -10.          -9.40692979  -5.02331526 -10.         -10.
  -4.68679911   2.23098701]",-0.6615956959304395,False,"{'x_position': -0.12952453100966613, 'x_velocity': -1.659393299776036}"
178,[-0.03365274 -0.09747567  0.99160624  0.9350724  -0.5607311   0.00440379],"[  1.16928188  -0.67522421  -0.20089699  -0.95625145   0.01799771
  -0.34174951  -0.70851177   1.07721713  -1.2600526   -1.80686114
  -4.91797499  -0.94876147  -7.37562014   3.12410035   1.06819438
 -10.          -3.13234517]",-0.38105354468568964,False,"{'x_position': -0.14055549763810196, 'x_velocity': -1.3788708285544793}"
179,[ 0.85740155 -0.2853883   0.4741627  -0.44937938  0.86569005 -0.34239975],"[ 1.1551027  -0.70830732 -0.20041082 -1.01987979  0.06602052 -0.33515538
 -0.79930087  1.03807065 -0.99684878 -1.72934289 -3.36074396  1.04097414
 -8.46887633  8.82185476  0.64752007 -9.23389744 -6.54978476]",-0.12708596398573244,False,"{'x_position': -0.14955530524783023, 'x_velocity': -1.1249759512160333}"
180,[ 0.63457125  0.6277447   0.22997214  0.92672473 -0.09943154  0.8061356 ],"[  1.14287632  -0.69870869  -0.14667698  -1.09384799   0.14941686
  -0.27853382  -0.89236966   0.98932282  -0.5866141   -1.34634691
   5.75633145  10.          -9.99117931  10.          10.
 -10.          -5.60603235]",0.19985226913483997,False,"{'x_position': -0.15593754156481376, 'x_velocity': -0.797779539622942}"
181,[-0.9878242   0.37827855 -0.01497093  0.14953408 -0.6089947   0.56539476],"[  1.1302828   -0.67226938  -0.07822479  -1.15824481   0.25103493
  -0.19453128  -1.00132286   0.94775912  -0.74237677  -1.78544926
   0.84597133   4.73476127  -6.16309774  10.           7.52261139
 -10.          -4.75930819]",0.3387127222958786,False,"{'x_position': -0.16121318361369436, 'x_velocity': -0.6594552561100738}"
182,[-0.03676851  0.47991586 -0.6179939  -0.22315869 -0.74437475  0.4946626 ],"[  1.11516863  -0.6702886   -0.04493711  -1.20564624   0.32189171
  -0.13850471  -1.11053038   0.91310452  -0.85693976  -1.99281619
  -0.35811362   3.57493775  -5.72213039   4.30869147   6.44817257
 -10.          -3.90321902]",0.1978828536450767,False,"{'x_position': -0.16761842340637517, 'x_velocity': -0.8006549740851021}"
